component,feature,loading,abs_loading,rank_abs_loading
1,operating_income,-0.39032241702079773,0.39032241702079773,1
1,cfo,-0.37814298272132874,0.37814298272132874,2
1,net_income,-0.37635689973831177,0.37635689973831177,3
1,revenue,-0.3546430170536041,0.3546430170536041,4
1,total_equity,-0.3519752323627472,0.3519752323627472,5
1,fcf,-0.3322010040283203,0.3322010040283203,6
1,identity_base_assets,-0.24049745500087738,0.24049745500087738,7
1,net_debt,-0.22052735090255737,0.22052735090255737,8
1,cash_and_equivalents,-0.21359187364578247,0.21359187364578247,9
1,total_debt,-0.1586330533027649,0.1586330533027649,10
1,capex,-0.14649473130702972,0.14649473130702972,11
1,news_count,-0.044997893273830414,0.044997893273830414,12
1,roa,-0.033343374729156494,0.033343374729156494,13
1,fcf_margin,-0.01839485578238964,0.01839485578238964,14
1,net_margin,-0.013208523392677307,0.013208523392677307,15
1,operating_margin,-0.013194764964282513,0.013194764964282513,16
1,capex_to_revenue,0.012891268357634544,0.012891268357634544,17
1,interest_coverage,-0.011556624434888363,0.011556624434888363,18
1,gross_margin,-0.009381174109876156,0.009381174109876156,19
1,quick_ratio,0.0061545041389763355,0.0061545041389763355,20
1,liabilities_to_assets,0.004426963161677122,0.004426963161677122,21
1,roe,-0.0030510080978274345,0.0030510080978274345,22
1,current_ratio,0.00013393012341111898,0.00013393012341111898,23
2,operating_margin,-0.5123602747917175,0.5123602747917175,1
2,net_margin,-0.5084338784217834,0.5084338784217834,2
2,fcf_margin,-0.4973912239074707,0.4973912239074707,3
2,capex_to_revenue,0.38230252265930176,0.38230252265930176,4
2,gross_margin,-0.2793598175048828,0.2793598175048828,5
2,total_debt,-0.03921261429786682,0.03921261429786682,6
2,identity_base_assets,-0.03589764982461929,0.03589764982461929,7
2,net_income,0.02645665779709816,0.02645665779709816,8
2,operating_income,0.02595142461359501,0.02595142461359501,9
2,cfo,0.02523808926343918,0.02523808926343918,10
2,fcf,0.02380368858575821,0.02380368858575821,11
2,roa,-0.021567609161138535,0.021567609161138535,12
2,revenue,0.01938747987151146,0.01938747987151146,13
2,total_equity,0.019267432391643524,0.019267432391643524,14
2,capex,-0.01812533475458622,0.01812533475458622,15
2,cash_and_equivalents,-0.01789228618144989,0.01789228618144989,16
2,interest_coverage,-0.007345837540924549,0.007345837540924549,17
2,net_debt,0.00615403288975358,0.00615403288975358,18
2,news_count,-0.005074776709079742,0.005074776709079742,19
2,roe,-0.0016720491694286466,0.0016720491694286466,20
2,quick_ratio,0.0012409844202920794,0.0012409844202920794,21
2,current_ratio,-0.0006866571493446827,0.0006866571493446827,22
2,liabilities_to_assets,0.0004276918189134449,0.0004276918189134449,23
3,identity_base_assets,-0.47575923800468445,0.47575923800468445,1
3,capex,-0.4385487139225006,0.4385487139225006,2
3,total_debt,-0.42207494378089905,0.42207494378089905,3
3,cash_and_equivalents,-0.42052578926086426,0.42052578926086426,4
3,net_income,0.21137215197086334,0.21137215197086334,5
3,operating_income,0.1924762725830078,0.1924762725830078,6
3,fcf,0.19133025407791138,0.19133025407791138,7
3,cfo,0.18149462342262268,0.18149462342262268,8
3,news_count,-0.16042937338352203,0.16042937338352203,9
3,roa,-0.13893333077430725,0.13893333077430725,10
3,total_equity,0.09326782822608948,0.09326782822608948,11
3,revenue,0.09097536653280258,0.09097536653280258,12
